Record ID	Property Type	Investment Name	Sponsor
rec06Ko9Mk5PlNtTs	Hotel	Staybridge Suites - Mayfield, OH	Syndicated Equities
rec07o2jWAX7TwAPU	Multifamily / residential	Overlook - Antioch, TN	Passco Companies
rec08avkISLNq0dxe	Retail	Downers Grove Retail DST	Inland Private Capital
rec09NN33NC9gMVlZ	Medical office	Medical Office Portfolio DST	Inland Private Capital
rec0GxensZpsSKaWI	Hotel	Fairfield Inn & Suites - Montgomery , AL	Peachtree Group
rec0QcQuIiT0y64dt	Self storage	Storesmart McDonough	Reliant
rec0RX1uNinVatH21	Hotel	Home2 Suites - Prattville, AL	Peachtree Group
rec0V8OO2pgCIqvF3	Hotel	Marriott Courtyard - West Des Moines, IA	Syndicated Equities
rec0YpGiQUR1JJtQS	Necessity Retail	CF WAG MH, LLC	Cantor Fitzgerald
rec0Yq3YPT6cNGluz	Retail	Chicagoland Grocery Venture DST	Inland Private Capital
rec0bHoiqdC2ueleV	Net-leased retail	Net-Leased Portfolio 17	ExchangeRight
rec0dHmt0LR61ILIm	Credit - Hotel	Suburban Extended Stay - Westminster, CO	Peachtree Group
rec0ftCIe5twJ51Rd	Retail	Austell 1031 DST	Inland Private Capital
rec0g4vHeBiCStZEV	Credit - Hotel	Aloft - Lake Buena Vista, FL	Peachtree Group
rec0iaUuk7EPKAwZg	Net-leased retail & healthcare	Net-Leased Portfolio 14	ExchangeRight
rec0jwFXnKBS2ngoP	Self storage	Fund II	Reliant
rec0p8RpSGcN0Marj	Self storage	Midgard Roswell	Reliant
rec0tRYrt3eFypUE2	Hotel	AC - Atlanta, GA	Peachtree Group
rec0vpwwLKy6yjvJa	Multifamily / residential	Arium Grandewood	Bluerock
rec0xCQu0swituetr	Credit - Retail	Best Space Realty Corp - Irving, TX	Peachtree Group
rec10M79NbbW4nJlE	Credit - Hotel	Sleep Inn - Oxford, AL	Peachtree Group
rec11HI4mjRyL9bML	Credit - Hotel	Candlewood Suites - North Syracuse, NY	Peachtree Group
rec138NjlehIY84WR	Hotel	Springhill Suites - San Antonio, TX	Peachtree Group
