Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
Staybridge Suites - Mayfield, OH	Syndicated Equities	Hotel	OH	-0.1582	0.14	5.43	Mayfield		Hotel / Hospitality	
Overlook - Antioch, TN	Passco Companies	Multifamily / residential	TN	0.0942	1.471	5	Antioch		Multifamily / Residential	
Downers Grove Retail DST	Inland Private Capital	Retail		0.0682	1.75	11			Net Lease (NNN) Retail	
Medical Office Portfolio DST	Inland Private Capital	Medical Office		0.112	1.42	3.75			Healthcare / Medical Office	
Fairfield Inn & Suites - Montgomery , AL	Peachtree Group	Hotel		0.0896	1.9	10.05			Hotel / Hospitality	
Storesmart McDonough	Reliant	Self storage		0.418836	2.36	3.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Home2 Suites - Prattville, AL	Peachtree Group	Hotel		0.5333	3.51	4.71			Hotel / Hospitality	
Marriott Courtyard - West Des Moines, IA	Syndicated Equities	Hotel	IA	-0.2234	0.12	3.94	West Des Moines		Hotel / Hospitality	
CF WAG MH, LLC	Cantor Fitzgerald	Necessity Retail		-0.053488	0.862	2.58		Not disclosed in PPM	Net Lease (NNN) Retail	
Chicagoland Grocery Venture DST	Inland Private Capital	Retail		0.0952	1.69	7.25			Net Lease (NNN) Retail	
Net-Leased Portfolio 17	ExchangeRight	Net-leased retail		0.100603	1.49	4.870637		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Suburban Extended Stay - Westminster, CO	Peachtree Group	Credit - Hotel		0.1724	1.38	2.2			Credit / Debt	
Austell 1031 DST	Inland Private Capital	Retail		0.0215	1.21	9.75			Net Lease (NNN) Retail	
Aloft - Lake Buena Vista, FL	Peachtree Group	Credit - Hotel		0.1396	1.42	3.01			Credit / Debt	
Net-Leased Portfolio 14	ExchangeRight	Net-leased retail & healthcare		0.106744	1.46	4.309377		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Fund II	Reliant	Self storage		0.1952	1.52	2.66		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Midgard Roswell	Reliant	Self storage		0.170078	1.61	3.59		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
AC - Atlanta, GA	Peachtree Group	Hotel		0.3297	1.64	1.94			Hotel / Hospitality	
Arium Grandewood	Bluerock	Multifamily / residential	FL	0.504665	3.607438	5.166667	Orlando		Multifamily / Residential	
Best Space Realty Corp - Irving, TX	Peachtree Group	Credit - Retail		1.1193	1.19	0.17			Credit / Debt	
Sleep Inn - Oxford, AL	Peachtree Group	Credit - Hotel		0.8419	2.92	2.28			Credit / Debt	
Candlewood Suites - North Syracuse, NY	Peachtree Group	Credit - Hotel		0.2918	1.6	2.06			Credit / Debt	
Springhill Suites - San Antonio, TX	Peachtree Group	Hotel		0.1558	1.81	5.2			Hotel / Hospitality	
Home2 Suites - Fort Worth, TX	Peachtree Group	Credit - Hotel		0.2497	1.32	1.28			Credit / Debt	
Vinings - Greenville, SC	Passco Companies	Multifamily / residential	SC	0.1015	1.677	6.67	Greenville		Multifamily / Residential	
Net-Leased Portfolio 13	ExchangeRight	Net-leased retail		0.103395	1.43	4.158795		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Janesville 1031 L.L.C.	Inland Private Capital	Industrial		0.0505	1.72	14.25			Industrial	
Holiday Inn Express (Note A) - Solana Beach, CA	Peachtree Group	Credit - Hotel		0.106	1.15	1.42			Credit / Debt	
Embassy - Atlanta, GA	Peachtree Group	Credit - Hotel		0.185	1.5	2.7			Credit / Debt	
AC - Austin, TX	Peachtree Group	Hotel		0.4757	2.24	2.61			Hotel / Hospitality	
Hampton Inn / La Quinta - Aberdeen, MD	Peachtree Group	Credit - Hotel		0.161	1.65	4.04			Credit / Debt	
CF Towson Multifamily DST	Cantor Fitzgerald	Multifamily		0.09625	1.308	3.2		Not disclosed in PPM	Multifamily / Residential	
Hampton Inn - New Albany, IN	Peachtree Group	Credit - Hotel		0.1849	1.72	3.89			Credit / Debt	
Net-Leased Portfolio 1	ExchangeRight	Net-leased retail		0.068941	1.51	7.397673		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Pharmacy Portfolio III DST	Inland Private Capital	Retail		0.1813	2.98	10.92			Net Lease (NNN) Retail	
Westerly	Bluerock	Multifamily / residential	MA	0.069624	1.382934	5.5	Franklin		Multifamily / Residential	
Legends at Indian Springs - Louisville, KY	Passco Companies	Multifamily / residential	KY	0.128	1.704	5.5	Louisville		Multifamily / Residential	
Deer Park 1031 DST	Inland Private Capital	Industrial		-0.0343	0.68	9.33			Industrial	
Carrington - Montgomery, AL	Passco Companies	Multifamily / residential	AL	0.07	1.4844	6.92	Montgomery		Multifamily / Residential	
Villa Toscana - Houston, TX	Passco Companies	Multifamily / residential	TX	0.1165	2.5343	13.17	Houston		Multifamily / Residential	
Winn Dixie	AEI	Net-leased grocery	FL	0.044439	1.7614	17.13347	Panama City		Net Lease (NNN) Retail	
Net-Leased Portfolio 28	ExchangeRight	Net-leased retail & healthcare		0.089495	1.48	5.36345		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
TownePlace Suites - Irving, TX (Fund II)	Peachtree Group	Credit - Hotel		0.0951	1.05	0.53			Credit / Debt	
North Park Towers	Bluerock	Multifamily / residential	MI	-0.076516	0.247594	9.833333	Southfield		Multifamily / Residential	
Net-Leased Portfolio 19	ExchangeRight	Net-leased retail & healthcare		0.102707	1.48	4.673511		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	Healthcare / Medical Office
Crowne Plaza - North Charleston, SC	Peachtree Group	Hotel		0.3155	1.92	2.92			Hotel / Hospitality	
Parker - Fairfax County, VA	Passco Companies	Multifamily / residential	VA	0.0633	1.2849	4.5	Fairfax County		Multifamily / Residential	
Passco Waikoloa, LLC	Passco Companies	Undeveloped / pre-development land			0				Undeveloped Land	
Holiday Inn Express - Tacoma, WA	Peachtree Group	Credit - Hotel		0.3142	1.08	0.25			Credit / Debt	
Plainfield 1031, L.L.C.	Inland Private Capital	Retail		0.033	1.39	11.83			Net Lease (NNN) Retail	
Clearwater	Bluerock	Multifamily / residential	FL	0.12616	1.872605	6.916667	Clearwater		Multifamily / Residential	
CVS - Weeki Wachee, FL	Syndicated Equities	Net-leased pharmacy	FL	0.1205	2.21	10.04	Weeki Wachee		Net Lease (NNN) Retail	
Upham Hotel - Santa Barbara, CA	Peachtree Group	Credit - Hotel		0.3199	1.24	0.75			Credit / Debt	
Holiday Inn - Sulphur, LA	Peachtree Group	Credit - Hotel		0.1902	1.2	1.05			Credit / Debt	
Meritage Commons - Napa, CA	Peachtree Group	Credit - Hotel		0.8173	2.13	1.38			Credit / Debt	
Marriott TownePlace Suites - Indianapolis, IN	Syndicated Equities	Hotel	IN	-0.0923	0.45	5.96	Indianapolis		Hotel / Hospitality	
Staybridge Suites- Baltimore, MD	Peachtree Group	Credit - Hotel		0.8145	2.61	1.98			Credit / Debt	
Hampton Inn - Sarasota, FL	Peachtree Group	Hotel		0.4902	1.91	1.86			Hotel / Hospitality	
Fairfield Inn & Suites - Lewisville, TX	Peachtree Group	Hotel		0.578	1.69	1.19			Hotel / Hospitality	
Sands Parc	Bluerock	Multifamily / residential	FL	0.138776	1.601363	4.333333	Daytona Beach		Multifamily / Residential	
Days Inn - State College, PA	Peachtree Group	Credit - Hotel		0.3705	1.21	0.57			Credit / Debt	
Eastwind Center - Las Vegas, NV	Passco Companies	Retail	NV	-0.0219	0.64	13.58	Las Vegas		Net Lease (NNN) Retail	
Artisan on 18th	Bluerock	Multifamily / residential	TN	0.48	2.12	2.333333	Nashville		Multifamily / Residential	
Net-Leased Preferred Equity Fund 1	ExchangeRight	Net-leased retail (fund-level)		0.059947	1.28	4.670773		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Net-Leased Portfolio 11	ExchangeRight	Net-leased retail		0.075661	1.51	6.740589		Multiple states - not disclosed in PPM	Net Lease (NNN) Retail	
Holiday Inn Express (Note 1) - Livonia, MI	Peachtree Group	Credit - Hotel		0.2586	1.16	0.62			Credit / Debt	
Hampton Inn (JFK) - Jamaica, NY	Peachtree Group	Credit - Hotel		0.1958	1.41	2.09			Credit / Debt	
Villages at Cypress Creek	Bluerock	Multifamily / residential	TX	0.171353	1.871042	5.083333	Houston		Multifamily / Residential	
EOS	Bluerock	Multifamily / residential	FL	0.308025	1.770063	2.5	Orlando		Multifamily / Residential	
Park Creek Steeple Multifamily DST	Inland Private Capital	Multifamily		0.2991	2.92	6.42			Multifamily / Residential	
Hilton Garden Inn - East Syracuse, NY	Peachtree Group	Credit - Hotel		1.0697	3.92	2.73			Credit / Debt	
Courtyard - Gulf Shores, AL	Peachtree Group	Hotel		0.8815	3.93	3.32			Hotel / Hospitality	
LaQuinta Inn - Atlanta, GA	Peachtree Group	Credit - Hotel		0.1806	1.27	1.49			Credit / Debt	
Avondale Hills	Bluerock	Multifamily / residential	GA	0.178331	1.193191	1.083333	Atlanta		Multifamily / Residential	
Hampton - Canton, GA	Peachtree Group	Credit - Hotel							Credit / Debt	
Garden Ridge	AEI	Net-leased retail	TX	0.027481	1.079	2.874743	Conroe		Net Lease (NNN) Retail	
Storesmart Warner Robins	Reliant	Self storage		0.473036	3.01	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
CF Hendry Multifamily DST	Cantor Fitzgerald	Multifamily		0.190263	1.723	3.8		Not disclosed in PPM	Multifamily / Residential	
Courtyard - Lafayette, IN	Peachtree Group	Credit - Hotel		0.4023	2.01	2.51			Credit / Debt	
President Hotel (A Note) - Kansas City, MO	Peachtree Group	Credit - Hotel		0.3021	1.11	0.36			Credit / Debt	
Hampton Inn - Enterprise, AL	Peachtree Group	Credit - Hotel		0.4232	1.19	0.45			Credit / Debt	
Kimpton - Baltimore, MD	Peachtree Group	Credit - Hotel		0.0093	1.03	3.22			Credit / Debt	
Curtis Hotel - Denver, CO	Syndicated Equities	Hotel	CO	0.1598	1.44	2.75	Denver		Hotel / Hospitality	
Four Points - Durham, NC	Peachtree Group	Credit - Hotel		0.7149	1.55	0.77			Credit / Debt	
Holiday Inn - North Canton, OH	Peachtree Group	Credit - Hotel		0.1763	1.21	1.19			Credit / Debt	
Ovation at Tempe Apartments - Tempe, Arizona	Passco Companies	Multifamily / residential		0.248	1.7242	2.92		Tempe, Arizona	Multifamily / Residential	
Midgard Cox Blvd	Reliant	Self storage		0.361333	3.86	7.92		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Storesmart Englewood	Reliant	Self storage		0.251815	2.07	4.25		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Fairfield Inn - Valdosta, GA	Peachtree Group	Hotel		0.2981	2.11	3.72			Hotel / Hospitality	
Champps	AEI	Net-leased restaurant	OH	0.018171	1.3561	19.597536	Columbus (Crosswood)		Net Lease (NNN) Retail	
Super 8 - Mound City, MO	Peachtree Group	Credit - Hotel		0.1857	1.09	0.48			Credit / Debt	
Port Richey 1031, L.L.C.	Inland Private Capital	Retail		-0.0378	0.55	11.92			Net Lease (NNN) Retail	
Walgreens - Chicago Heights, IL	Syndicated Equities	Net-leased pharmacy	IL	0.0725	1.72	9.93	Chicago Heights		Net Lease (NNN) Retail	
Courtyard - Fairfield, CA	Peachtree Group	Credit - Hotel		0.1819	1.24	1.32			Credit / Debt	
Cumberland Mall - Vineland, NJ	Peachtree Group	Credit - Retail		0.2534	1.12	0.47			Credit / Debt	
Hampton Inn - Carter Lake, IA	Peachtree Group	Credit - Hotel		0.1855	1.13	0.7			Credit / Debt	
Sheraton - Jacksonville, FL	Peachtree Group	Hotel		0.3523	2.2	3.41			Hotel / Hospitality	
CW Pharmacy I DST	Inland Private Capital	Retail		0.0867	1.6	6.92			Net Lease (NNN) Retail	
Ravinia Plaza Shopping Center - Orland Park, IL	Syndicated Equities	Retail	IL	0.0994	1.31	3.12	Orland Park		Net Lease (NNN) Retail	
23Hundred Berry Hill	Bluerock	Multifamily / residential	TN	0.391391	1.880631	2.25	Nashville		Multifamily / Residential	
Panda Biotech - Wichita Falls, TX	Peachtree Group	Credit - Industrial							Credit / Debt	
Chenal Commons 1031, L.L.C.	Inland Private Capital	Retail		0.0593	2.04	17.53			Net Lease (NNN) Retail	
Holiday Inn Express (Note A) - Las Vegas, NM	Peachtree Group	Credit - Hotel		0.2694	1.18	0.67			Credit / Debt	
Holiday Inn - Big Rapids, MI	Peachtree Group	Credit - Hotel		0.5003	1.2	0.4			Credit / Debt	
